user,month,date,location,drink
jasmine,january,3,ume,peach oolong milk tea with boba
jasmine,january,4,sunright,original milk tea with boba
jasmine,january,14,luxe,strawberry milk tea with strawberry heart jelly (pink panther)
jasmine,january,21,yun,hojicha milk tea with boba
jasmine,january,21,yun,rooibos milk tea with boba (zzz)
jasmine,january,25,omomo,matcha smoothie with creme brûlée and boba (omomo matcha)
jasmine,january,26,tastea,orange raspberry & passion fruit smoothie with peach bits (yummy gummy)
jasmine,january,29,omomo,mango slush with mango bits (mango tornado)
jasmine,february,1,camellia rd,earl grey milk tea with boba
jasmine,february,3,yun,mango smoothie with cream and rice (mango sticky rice)
jasmine,february,4,omomo,strawberry slush with strawberry bits (strawberry tornado)
jasmine,february,7,tastea,strawberry milk tea with boba
jasmine,february,10,yun,da hong pao oolong milk tea with boba (emperor’s red robe)
jasmine,february,11,yun,jasmine milk tea with boba (snow jasmine)
jasmine,february,12,da boba,classic milk tea with pudding
jasmine,february,13,happy lemon,mango matcha with mango boba 
jasmine,february,18,camellia rd,earl grey milk tea with boba
jasmine,february,19,teaspoon,banana milk with pudding and honeycomb
jasmine,february,20,tastea,jasmine milk tea with boba
jasmine,february,21,yun,jasmine milk tea with boba (snow jasmine)
jasmine,february,24,yun,mango smoothie with cream and rice (mango sticky rice)
jasmine,february,25,omomo,taro smoothie with mochi (taro taro with mochi)
jasmine,february,26,tastea,strawberry smoothie with strawberry bits (strawberry sensation)
jasmine,february,27,yun,jasmine milk tea with boba (snow jasmine)
